State,Electoral Votes,Leader,Leader Total Votes,Leader Vote Percent,Trailer,Trailer Total Votes,Trailer Vote Percent
Alabama,9,Trump,1441170.0,62.0,Biden,849624.0,36.6
Alaska,3,Trump,189951.0,52.8,Biden,153778.0,42.8
Arizona,11,Biden,1672143.0,49.4,Trump,1661686.0,49.1
Arkansas,6,Trump,760647.0,62.4,Biden,423932.0,34.8
California,55,Biden,11109764.0,63.5,Trump,6005961.0,34.3
Colorado,9,Biden,1804352.0,55.4,Trump,1364607.0,41.9
Connecticut,7,Biden,1080680.0,59.2,Trump,715291.0,39.2
Delaware,3,Biden,296268.0,58.8,Trump,200603.0,39.8
District of Columbia,3,Biden,317323.0,92.1,Trump,18586.0,5.4
Florida,29,Trump,5668731.0,51.2,Biden,5297045.0,47.9
Georgia,16,Biden,2473633.0,49.5,Trump,2461854.0,49.3
Hawaii,4,Biden,366130.0,63.7,Trump,196864.0,34.3
Idaho,4,Trump,554118.0,63.8,Biden,287021.0,33.1
Illinois,20,Biden,3471915.0,57.5,Trump,2446891.0,40.6
Indiana,11,Trump,1729857.0,57.0,Biden,1242498.0,41.0
Iowa,6,Trump,897672.0,53.1,Biden,759061.0,44.9
Kansas,6,Trump,771406.0,56.1,Biden,570323.0,41.5
Kentucky,8,Trump,1326646.0,62.1,Biden,772474.0,36.2
Louisiana,8,Trump,1255776.0,58.5,Biden,856034.0,39.9
Maine,4,Biden,435072.0,53.1,Trump,360737.0,44.0
Maryland,10,Biden,1985023.0,65.4,Trump,976414.0,32.2
Massachusetts,11,Biden,2382202.0,65.6,Trump,1167202.0,32.1
Michigan,16,Biden,2804040.0,50.6,Trump,2649852.0,47.8
Minnesota,10,Biden,1717077.0,52.4,Trump,1484065.0,45.3
Mississippi,6,Trump,756764.0,57.5,Biden,539398.0,41.0
Missouri,10,Trump,1718736.0,56.8,Biden,1253014.0,41.4
Montana,3,Trump,343602.0,56.7,Biden,244786.0,40.4
Nebraska,5,Trump,556846.0,58.2,Biden,374583.0,39.2
Nevada,6,Biden,703486.0,50.1,Trump,669890.0,47.7
New Hampshire,4,Biden,424921.0,52.8,Trump,365654.0,45.5
New Jersey,14,Biden,2608335.0,57.1,Trump,1883274.0,41.3
New Mexico,5,Biden,501614.0,54.3,Trump,401894.0,43.5
New York,29,Biden,5244006.0,60.9,Trump,3250230.0,37.7
North Carolina,15,Trump,2758773.0,49.9,Biden,2684292.0,48.6
North Dakota,3,Trump,235595.0,65.1,Biden,114902.0,31.8
Ohio,18,Trump,3154834.0,53.3,Biden,2679165.0,45.2
Oklahoma,7,Trump,1020280.0,65.4,Biden,503890.0,32.3
Oregon,7,Biden,1340383.0,56.5,Trump,958448.0,40.4
Pennsylvania,20,Biden,3459923.0,50.0,Trump,3378263.0,48.8
Rhode Island,4,Biden,307486.0,59.4,Trump,199922.0,38.6
South Carolina,9,Trump,1385103.0,55.1,Biden,1091541.0,43.4
South Dakota,3,Trump,261043.0,61.8,Biden,150471.0,35.6
Tennessee,11,Trump,1852948.0,60.7,Biden,1143913.0,37.4
Texas,38,Trump,5890347.0,52.0,Biden,5259126.0,46.5
Utah,6,Trump,865140.0,58.1,Biden,560282.0,37.6
Vermont,3,Biden,242820.0,66.1,Trump,112704.0,30.7
Virginia,13,Biden,2413568.0,54.1,Trump,1962430.0,44.0
Washington,12,Biden,2369612.0,58.0,Trump,1584651.0,38.8
West Virginia,5,Trump,545382.0,68.6,Biden,235984.0,29.7
Wisconsin,10,Biden,1630673.0,49.5,Trump,1610065.0,48.8
Wyoming,3,Trump,193559.0,69.9,Biden,73491.0,26.6
